incident_id,date,quarter,school,city,state,school_level
20220405PAERE,2022-04-05,Spring                                            ,Erie High School                                                                                                                                                                                        ,Erie                                                                                                ,PA,High                                              
20220403INBLB,2022-04-03,Spring                                            ,Bloomington High School South                                                                                                                                                                           ,Bloomington                                                                                         ,IN,High                                              
20220331SCTAG,2022-03-31,Spring                                            ,Tanglewood Middle School                                                                                                                                                                                ,Greenville                                                                                          ,SC,Middle                                            
20220331PAACP,2022-03-31,Spring                                            , West Philadelphia Achievement Charter Elementary School                                                                                                                                                ,Philadelphia                                                                                        ,PA,Elementary                                        
20220330GABOA,2022-03-30,Spring                                            ,Booker T Washington High School                                                                                                                                                                         ,Atlanta                                                                                             ,GA,High                                              
20220330AZKIK,2022-03-30,Spring                                            ,Kingman High School                                                                                                                                                                                     ,Kingman                                                                                             ,AZ,High                                              
20220329NVWEL,2022-03-29,Spring                                            ,Western High School                                                                                                                                                                                     ,Las Vegas                                                                                           ,NV,High                                              
20220329VALUR,2022-03-29,Spring                                            ,Lucy Addison Middle School                                                                                                                                                                              ,Roanoke                                                                                             ,VA,Middle                                            
20220328NCOAC,2022-03-28,Spring                                            ,Oakdale Elementary School                                                                                                                                                                               ,Charlotte                                                                                           ,NC,Elementary                                        
20220328TXNOF,2022-03-28,Spring                                            ,North Crowley High School                                                                                                                                                                               ,Fort Worth                                                                                          ,TX,High                                              
20220325TXROR,2022-03-25,Spring                                            ,Royse City High School                                                                                                                                                                                  ,Royse City                                                                                          ,TX,High                                              
20220325TNBRM,2022-03-25,Spring                                            ,Brighton High School                                                                                                                                                                                    ,Memphis                                                                                             ,TN,High                                              
20220325UTHIS,2022-03-25,Spring                                            ,Highland High School                                                                                                                                                                                    ,Salt Lake City                                                                                      ,UT,High                                              
20220324VARIW,2022-03-24,Spring                                            ,Rippon Middle School                                                                                                                                                                                    ,Woodbridge                                                                                          ,VA,Middle                                            
20220322VAJAR,2022-03-22,Spring                                            ,James Madison Middle School                                                                                                                                                                             ,Roanoke                                                                                             ,VA,Middle                                            
20220322TXWOD,2022-03-22,Spring                                            ,Woodrow Wilson High School                                                                                                                                                                              ,Dallas                                                                                              ,TX,High                                              
20220322FLNEN,2022-03-22,Spring                                            ,New Smyrna Beach High School                                                                                                                                                                            ,New Smyrna Beach                                                                                    ,FL,High                                              
20220321MSLEP,2022-03-21,Spring                                            ,Leap of Faith Middle School                                                                                                                                                                             ,Pascagoula                                                                                          ,MS,Middle                                            
20220321AZDES,2022-03-21,Spring                                            ,Desert Canyon Middle School                                                                                                                                                                             ,Scottsdale                                                                                          ,AZ,Middle                                            
20220321MIMAK,2022-03-21,Spring                                            ,Mahone Middle School                                                                                                                                                                                    ,Kenosha                                                                                             ,WI,Middle                                            
20220319ALCEL,2022-03-19,Spring                                            ,Central Baldwin Middle School                                                                                                                                                                           ,Loxley                                                                                              ,AL,Middle                                            
20220311OHMAM,2022-03-18,Spring                                            ,Madison High School                                                                                                                                                                                     ,Mansfield                                                                                           ,OH,High                                              
20220318ILBAB,2022-03-18,Spring                                            ,Barrington High School                                                                                                                                                                                  ,Barrington                                                                                          ,IL,High                                              
20220318RICEP,2022-03-18,Spring                                            ,null                                                                                                                                                                                                    ,Providence                                                                                          ,RI,High                                              
20220317AKREW,2022-03-17,Spring                                            ,Redington Jr/Sr High School                                                                                                                                                                             ,Wasilla                                                                                             ,AK,6-12                                              
20220316CALOR,2022-03-16,Spring                                            ,Loma Vista Middle School                                                                                                                                                                                ,Riverside                                                                                           ,CA,Middle                                            
20220315WAEIY,2022-03-15,Winter                                            ,Eisenhower High School                                                                                                                                                                                  ,Yakima                                                                                              ,WA,High                                              
20220315MATEB,2022-03-15,Spring                                            ,Tech Academy Boston                                                                                                                                                                                     ,Boston                                                                                              ,MA,High                                              
20220315MDPAB,2022-03-15,Spring                                            ,Paul Lawrence Dunbar High School                                                                                                                                                                        ,Baltimore                                                                                           ,MD,High                                              
20220315GAFOF,2022-03-15,Spring                                            ,Forest Park Middle School                                                                                                                                                                               ,Forest Park                                                                                         ,GA,Middle                                            
20220314CAKRP,2022-03-14,Spring                                            ,Kraemer Middle School                                                                                                                                                                                   ,Placentia                                                                                           ,CA,Middle                                            
20220313PANEP,2022-03-13,Spring                                            ,New Foundations Charter School                                                                                                                                                                          ,Philadelphia                                                                                        ,PA,K-8                                               
20220311OHFAP,2022-03-11,Spring                                            ,Fairland Middle School                                                                                                                                                                                  ,Proctorville                                                                                        ,OH,Middle                                            
20220311CADER,2022-03-11,Spring                                            ,De Anza High School                                                                                                                                                                                     ,Richmond                                                                                            ,CA,High                                              
20220311WIJER,2022-03-11,Spring                                            ,Jerstad-Agerholm Elementary School                                                                                                                                                                      ,Racine                                                                                              ,WI,Elementary                                        
20220310MDCOL,2022-03-10,Spring                                            ,Cora L. Rice Elementary School                                                                                                                                                                          ,Landover                                                                                            ,MD,Elementary                                        
20220310COROH,2022-03-10,Spring                                            ,Rock Canyon High School                                                                                                                                                                                 ,Highlands Ranch                                                                                     ,CO,High                                              
20220310TNHAM,2022-03-10,Spring                                            ,Hamilton Middle School                                                                                                                                                                                  ,Memphis                                                                                             ,TN,K-8                                               
20220309TXNOH,2022-03-09,Spring                                            ,Kimball High School                                                                                                                                                                                     ,Houston                                                                                             ,TX,High                                              
20220309FLNOM,2022-03-09,Spring                                            ,North Gardens High School                                                                                                                                                                               ,Miami Gardens                                                                                       ,FL,High                                              
20220309NMESE,2022-03-09,Spring                                            ,Espanola Valley High School                                                                                                                                                                             ,Espanola                                                                                            ,NM,High                                              
20220307IAEAD,2022-03-07,Spring                                            ,East High School                                                                                                                                                                                        ,Des Moines                                                                                          ,IA,High                                              
20220304KSOLO,2022-03-04,Spring                                            ,Olathe East High School                                                                                                                                                                                 ,Olathe                                                                                              ,KS,High                                              
20220303MIJWL,2022-03-03,Winter                                            ,JW Sexton High School                                                                                                                                                                                   ,Lansing                                                                                             ,MI,High                                              
20220228NYBOB,2022-02-28,Winter                                            ,Boys and Girls High School                                                                                                                                                                              ,Brooklyn                                                                                            ,NY,High                                              
20220227DCDUW,2022-02-27,Winter                                            ,Dunbar High School                                                                                                                                                                                      ,Washington                                                                                          ,DC,High                                              
