weaponid,incidentid,weaponcaliber,weapondetails,weapontype
19,19701212WIXAA                                                                                                                     ,Service Weapon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
20,19710202PAMOP                                                                                                                     ,.45 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
21,19710205PAJOW                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
22,19710210TXOAD                                                                                                                     ,12 gauge                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,,Shotgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
23,19710225OHFRC                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Rifle                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
24,19710309AZROT                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
25,19710405PAWIH                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
26,19710527MIBES                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
27,19710602NYEAE                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
28,19710820PAMOM                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
29,19710909TXDUL                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
30,19710924NYMCB                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
31,19710928MNCEM                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,No Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
32,19710929VAPEP                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
33,19711028MDCIB                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
34,19711029MDFOB                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Rifle                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
35,19711029MDFRB                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
36,19711103NMCAC                                                                                                                     ,Automatic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,,Rifle                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
37,19711108OKGRT                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
38,19711124MDEDB                                                                                                                     ,Unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
39,19711206CALOL                                                                                                                     ,.22 caliber                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,,Handgun                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
